Product_ID,Product_ID,Product_Title,Description,Category,Price,Price,Rating,Rating,Rating_Count,Rating_Count,Store,feature_list,combined_text
B0BSGM6CQ9,1,Ernie Ball Mondo Slinky Nickelwound Electric Guitar Strings 10.5-52 Gauge,"['Product Description', 'Ernie Ball Mondo Slinkys are ideal for players who prefer a heavier gauge with a little less tension on the plain strings (E, B, G). These electric guitar strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Mondo Slinky wound strings are made from nickel-plated steel wire wrapped around a hex-shaped steel core wire while the plain strings are made of specially tempered tin-plated high-carbon steel, resulting in that iconic Slinky feel and tone that players have relied on for decades. Mondo Slinky gauges are .0105 .0135 .0175 .030 .042 .052.', 'From the Manufacturer', 'Mondo Slinky strings are ideal for players who prefer a heavier low end with only a slight difference in tension on the plain strings. Gauge combination: 10. 5, 13. 5, 17. 5, 30, 42, 52']",Musical Instruments,6.99,6.99,4.8,4.8,100615,100615,Ernie Ball,"[""['Ernie Ball Slinkys are played by legends around the world including Slash, Jimmy Page, Metallica, Eric Clapton, and more', 'Mondo Slinkys are ideal for players who prefer a heavier gauge with a little less tension on the plain strings (E, B, G)', 'Element Shield Packaging prolongs string life and keeps strings as fresh as the day they were made', 'Bright, balanced tone', 'Made in California, USA with the finest and freshest materials']""]","Ernie Ball Mondo Slinky Nickelwound Electric Guitar Strings 10.5-52 Gauge ['Product Description', 'Ernie Ball Mondo Slinkys are ideal for players who prefer a heavier gauge with a little less tension on the plain strings (E, B, G). These electric guitar strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Mondo Slinky wound strings are made from nickel-plated steel wire wrapped around a hex-shaped steel core wire while the plain strings are made of specially tempered tin-plated high-carbon steel, resulting in that iconic Slinky feel and tone that players have relied on for decades. Mondo Slinky gauges are .0105 .0135 .0175 .030 .042 .052.', 'From the Manufacturer', 'Mondo Slinky strings are ideal for players who prefer a heavier low end with only a slight difference in tension on the plain strings. Gauge combination: 10. 5, 13. 5, 17. 5, 30, 42, 52'] Musical Instruments ['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Electric Guitar Strings']"
B09W4F2X6S,2,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker Machine for All Smartphones, Gifts to Girls Boys Kids Adults All Age Q37(Black Gold)","['【PARTICULAR DESIGN】 - The excellent design of karaoke microphones is very suitable for your hand, which let you feel more comfortable. And the built-in high-quality Bluetooth module can be used as a wireless speaker, mp3 player, and recorder, compatible with various singing applications.', '【TWO WAYS CONNECTION】- Bluetooth Connection & Cable Connection. You just need to connect your phone with cable or Bluetooth, and then open the singing APP on your phone. The built-in clear audio and the vividly sound effect let you listen and sing anytime and anywhere.', '【HIGH COMPATIBILITY】- Supporting micro SD card max 32GB(NOT INCLUDED) and song switch. The Bluetooth has a great distance of connection(10m).', '【EASY TO USE】- Multi-function buttons, easy to switch to different modes, adjust microphone, echo, and music volume separately, enjoy singing along with the music. With echo mode, a karaoke mic can bring a surrounding immersion.', '【MICROPHONE FOR KIDS & ADULTS】-Come with 1* BONAOK microphone, 1* Audio Cable, 1*Charge Cable, 1*User Manual, and 1*Colorful Box. Cute gifts idea for kids, teens and adults, friends and family, suitable for all kinds of holidays and festivals.']",Musical Instruments,29.99,29.99,4.4,4.4,79425,79425,BONAOK,"[""['【PARTICULAR DESIGN】 - The excellent design of karaoke microphones is very suitable for your hand, which let you feel more comfortable. And the built-in high-quality Bluetooth module can be used as a wireless speaker, mp3 player, and recorder, compatible with various singing applications.', '【TWO WAYS CONNECTION】- Bluetooth Connection & Cable Connection. You just need to connect your phone with cable or Bluetooth, and then open the singing APP on your phone. The built-in clear audio and the vividly sound effect let you listen and sing anytime and anywhere.', '【HIGH COMPATIBILITY】- Supporting micro SD card max 32GB(NOT INCLUDED) and song switch. The Bluetooth has a great distance of connection(10m).', '【EASY TO USE】- Multi-function buttons, easy to switch to different modes, adjust microphone, echo, and music volume separately, enjoy singing along with the music. With echo mode, a karaoke mic can bring a surrounding immersion.', '【MICROPHONE FOR KIDS & ADULTS】-Come with 1* BONAOK microphone, 1* Audio Cable, 1*Charge Cable, 1*User Manual, and 1*Colorful Box. Cute gifts idea for kids, teens and adults, friends and family, suitable for all kinds of holidays and festivals.']""]","BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker Machine for All Smartphones, Gifts to Girls Boys Kids Adults All Age Q37(Black Gold) [] Musical Instruments ['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Wireless Microphones & Systems', 'Handheld Wireless Microphones']"
B076B8G5D8,3,"Boya BYM1 by Shotgun Video Microphone by-M1 Ultimate 3.5mm Lapel Mic Clip-On Video Recording Omnidirectional Condenser for iPhone Android Smartphone Mac Tablet DSLR Camcorder, Black","['Specification Transducer Type: Electret Condenser Polar Pattern: Omni-directional Frequency Range: 65Hz ~ 18KHz Signal / Noise: 74dB SPL Sensitivity: -30dB +/-3dB / 0dB=1V/Pa, 1kHz Output Impedance: 1000 Ohm or less Output Connection: 3.5mm (1/8"") 4-pole gold plug Battery Type: LR44 (included) Dimension: Microphone :18.00mmH x 8.30mmW x 8.30mm Audio Cable: 20.00ft (6.00m) Weight: Microphone : 2.50g;Power Module: 18.00g']",Camera & Photo,14.95,14.95,4.0,4.0,68708,68708,BOYA,"[""['Our lavalier microphones can create perfect videos and audio files on your smartphone and tablet. Pristine sound without effort, no matter where you are!', 'Pick up sounds from your environment easily. Ideal for YouTuber, Interviews, Livestreams, Podcasting, Demo videos, Voice dictation, Instagram Live & More.', 'Compatible with Apple/ iPhone, iPad, Android & Windows Smartphones, tablets. Also works with DSLR, camcorders, Gopro, camcorders etc. with standard 3.5 mm (1/8 inch)mic input.', 'It comes with a deluxe pouch to keep the microphone safe, a special wind muff, a durable lapel clip, the longest cord at 20feet (6m),LR44 battery and a 1/4” adapter.', 'For Smartphone: switch off the microphone, slide the ON/OFF up to OFF/Smartphone, the power is shut down.']""]","Boya BYM1 by Shotgun Video Microphone by-M1 Ultimate 3.5mm Lapel Mic Clip-On Video Recording Omnidirectional Condenser for iPhone Android Smartphone Mac Tablet DSLR Camcorder, Black ['Specification Transducer Type: Electret Condenser Polar Pattern: Omni-directional Frequency Range: 65Hz ~ 18KHz Signal / Noise: 74dB SPL Sensitivity: -30dB +/-3dB / 0dB=1V/Pa, 1kHz Output Impedance: 1000 Ohm or less Output Connection: 3.5mm (1/8"") 4-pole gold plug Battery Type: LR44 (included) Dimension: Microphone :18.00mmH x 8.30mmW x 8.30mm Audio Cable: 20.00ft (6.00m) Weight: Microphone : 2.50g;Power Module: 18.00g'] Camera & Photo ['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Condenser Microphones', 'Instrument']"
B0BTC9YJ2W,4,"D'Addario Guitar Strings - Phosphor Bronze Acoustic Guitar Strings - EJ41 - Rich, Full Tonal Spectrum - For 12 String Guitars - 09-45 Extra Light 12-String","[""D'Addario was the first to use Phosphor Bronze in acoustic guitar strings back in 1974. Today, Phosphor Bronze is played throughout the world and considered to be the standard in acoustic strings, thanks to its beautiful sonic balance and tonal warmth. Our pioneering Phosphor Bronze acoustic guitar strings are precision wound with phosphor bronze wrap wire over a high-carbon steel core, providing tonal versatility suitable for all acoustic styles and musical genres. This 09-45 Extra Light 12-String set is D'Addario's lightest gauge for 12-string acoustic guitar, providing easy playability while retaining adequate tone and projection for most playing situations.""]",Musical Instruments,10.99,10.99,4.7,4.7,60133,60133,D'Addario,"[""['CORROSION-RESISTANT, PRECISION WOUND –\\xa0D’Addario Phosphor Bronze acoustic guitar strings are precision wound with phosphor bronze wrap wire, over a hexagonal high-carbon steel core.', 'WARM, BALANCED TONE - Phosphor Bronze wrap wire provides tried-and-true D’Addario acoustic tone, with beautiful balance and warmth suitable for all musical genres.', 'MOST POPULAR ACOUSTIC GUITAR STRING - \\xa0Now the standard in acoustic guitar strings, Phosphor Bronze strings were originally pioneered by D’Addario in the 1970s.', 'EARN REWARD POINTS - D’Addario Phosphor Bronze acoustic guitar strings come with a code on the recyclable VCI bag, which you can register to earn Players Circle points.', 'MADE IN THE USA –\\xa0Our Phosphor Bronze strings are made in the USA—drawn to exacting specifications at our New York production facility.']""]","D'Addario Guitar Strings - Phosphor Bronze Acoustic Guitar Strings - EJ41 - Rich, Full Tonal Spectrum - For 12 String Guitars - 09-45 Extra Light 12-String [""D'Addario was the first to use Phosphor Bronze in acoustic guitar strings back in 1974. Today, Phosphor Bronze is played throughout the world and considered to be the standard in acoustic strings, thanks to its beautiful sonic balance and tonal warmth. Our pioneering Phosphor Bronze acoustic guitar strings are precision wound with phosphor bronze wrap wire over a high-carbon steel core, providing tonal versatility suitable for all acoustic styles and musical genres. This 09-45 Extra Light 12-String set is D'Addario's lightest gauge for 12-string acoustic guitar, providing easy playability while retaining adequate tone and projection for most playing situations.""] Musical Instruments ['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Acoustic Guitar Strings']"
B018FCZKR2,5,"Amazon Basics Adjustable Guitar Folding A-Frame Stand for Acoustic and Electric Guitars with Non-Slip Rubber and Soft Foam Arms, Fully Assembled","['Product Description', 'Amazon Basics Adjustable Guitar Folding A-Frame Stand for Acoustic and Electric Guitars with Non-Slip Rubber and Soft Foam Arms, Fully Assembled', 'From the Manufacturer', 'Amazon Basics']",Musical Instruments,17.75,17.75,4.8,4.8,55452,55452,Amazon Basics,"[""['A-frame universal guitar stand for acoustic and electric guitars', '3 adjustable-width settings to accommodate most guitar shapes', 'Lightweight, durable, metal construction; no assembly needed', 'Soft foam arms and back rest to protect your guitar', 'Folds flat for convenient transport and storage; non-slip rubber feet']""]","Amazon Basics Adjustable Guitar Folding A-Frame Stand for Acoustic and Electric Guitars with Non-Slip Rubber and Soft Foam Arms, Fully Assembled ['Product Description', 'Amazon Basics Adjustable Guitar Folding A-Frame Stand for Acoustic and Electric Guitars with Non-Slip Rubber and Soft Foam Arms, Fully Assembled', 'From the Manufacturer', 'Amazon Basics'] Musical Instruments ['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Stands, Hangers & Racks', 'Stands', 'Single']"
B09RN7GR8F,6,"Focusrite Scarlett 4i4 3rd Gen USB Audio Interface, for Musicians, Songwriters, Guitarists, Content Creators — High-Fidelity, Studio Quality Recording, and All the Software You Need to Record","[""Scarlett 4i4 is the perfect interface for musicians and producers starting to expand their setups and needing extra connectivity. Take your creativity to the next level with four inputs and four outputs enabling simultaneous recording of microphones, instruments, synths, and drum machines - with maximum audio quality. Equipped with high performance 24-bit/192kHz AD-DA converters. The 4i4 features two of Focusrite's 3rd Gen Scarlett mic preamps with optional Air setting to reproduce the Air effect of their original ISA mic preamp, giving your vocal or acoustic recordings a brighter and more open sound. Record guitars or basses via the two high-headroom instrument inputs without any clipping or unwanted distortion and get creative using the four flexible line inputs – two on the front with gain control, and two fixed-line on the back allowing you to record up to four mono sources or two stereo line-level sources such as synthesizers or drum machines with clarity. A pair of virtual loopback inputs allows you to capture a stereo feed of any combination of hardware input and software playback channels – making podcasting, live streaming, and sampling tasks easier. Scarlett 4i4 is designed to stand up to days on the road and connects straight to your Mac or PC via USB cable. Your Scarlett 4i4 comes with the Hitmaker Expansion, an unbeatable range of tried-and-tested studio tools from some of the biggest names in the business. The Hitmaker Expansion includes: Antares Auto-Tune Access, Relab LX480 Essentials, Softube Marshall® Silver Jubilee 2555, XLN Audio Addictive Keys, XLN Audio Addictive Drums 2, Three Month Splice Sounds Subscription, Brainworx bx_console Focusrite SC, and Focusrite Red Plug-In Suite. Also included are Ableton Live Lite, and a Three Month Avid Pro Tools Artist subscription with their complete plugin bundle; all upon purchase, registration, and download. Interested in what headphones are compatible with Scarlett? Search 'Headphones' on the Focusrite help center for more information.""]",Musical Instruments,229.99,229.99,4.7,4.7,43271,43271,Focusrite,"[""['Pro performance with two of the finest mic preamps – Sound better than ever with 4i4’s two mic preamps. Achieve a brighter and a more open recording thanks to the best performing mic preamps the Scarlett range has ever heard. A switchable Air mode will add extra clarity to your acoustic instruments and voice when recording with your Scarlett 4i4.', 'All the inputs you’ll need for your gear – Four balanced line inputs are available for connecting synths or other line level audio that you use in your music, so you can utilise your full setup with Scarlett. Four balanced outputs can be used for monitoring and effects sends to make life easier. With super low latency and class-leading drivers, you will have no problems capturing audio in the moment that is well-polished and true to the original source.', 'Crystal clear playback in studio quality – Get professional sounding recordings with Scarlett’s high-performance converters which enable you to record and mix at up to 24-bit/192kHz. Your recordings will retain all of their sonic qualities so that you can hear all the details in your track on playback.', 'Start producing right away with Easy Start – It’s easier than ever to get up and running with your Scarlett with our online tool, Easy Start. Whether you’re looking to record or playback audio, we will help you get started.', 'All the tools you need to start recording right, now – In the form of Hitmaker Expansion, we’ve partnered with our favourite industry partners to provide you with plenty of sound content and software so that you can create and record music right away. Create powerful guitars, luscious keys and huge drums. Get studio quality vocals with the aid of Antares Auto-Tune Access that allows natural sounding, near-real-time pitch adjustment for getting the best vocal takes.', 'Enjoy three years of warranty - Wherever you happen to be in the world, you can rely on a three-year warranty if any Focusrite hardware needs repairing or replacing due to a manufacturing fault.']""]","Focusrite Scarlett 4i4 3rd Gen USB Audio Interface, for Musicians, Songwriters, Guitarists, Content Creators — High-Fidelity, Studio Quality Recording, and All the Software You Need to Record [""Scarlett 4i4 is the perfect interface for musicians and producers starting to expand their setups and needing extra connectivity. Take your creativity to the next level with four inputs and four outputs enabling simultaneous recording of microphones, instruments, synths, and drum machines - with maximum audio quality. Equipped with high performance 24-bit/192kHz AD-DA converters. The 4i4 features two of Focusrite's 3rd Gen Scarlett mic preamps with optional Air setting to reproduce the Air effect of their original ISA mic preamp, giving your vocal or acoustic recordings a brighter and more open sound. Record guitars or basses via the two high-headroom instrument inputs without any clipping or unwanted distortion and get creative using the four flexible line inputs – two on the front with gain control, and two fixed-line on the back allowing you to record up to four mono sources or two stereo line-level sources such as synthesizers or drum machines with clarity. A pair of virtual loopback inputs allows you to capture a stereo feed of any combination of hardware input and software playback channels – making podcasting, live streaming, and sampling tasks easier. Scarlett 4i4 is designed to stand up to days on the road and connects straight to your Mac or PC via USB cable. Your Scarlett 4i4 comes with the Hitmaker Expansion, an unbeatable range of tried-and-tested studio tools from some of the biggest names in the business. The Hitmaker Expansion includes: Antares Auto-Tune Access, Relab LX480 Essentials, Softube Marshall® Silver Jubilee 2555, XLN Audio Addictive Keys, XLN Audio Addictive Drums 2, Three Month Splice Sounds Subscription, Brainworx bx_console Focusrite SC, and Focusrite Red Plug-In Suite. Also included are Ableton Live Lite, and a Three Month Avid Pro Tools Artist subscription with their complete plugin bundle; all upon purchase, registration, and download. Interested in what headphones are compatible with Scarlett? Search 'Headphones' on the Focusrite help center for more information.""] Musical Instruments ['Musical Instruments', 'Studio Recording Equipment', 'Computer Recording', 'Audio Interfaces']"
B06X9KG3HW,7,"Amazon Basics 2-Pack XLR Microphone Cable for Speaker or PA System, All Copper Conductors, 6MM PVC Jacket, 6 Foot, Black","['Product Description', 'Amazon Basics Standard XLR Male to Female Balanced Microphone Cable, Durable & Flexible, Noise-Cancelling - 6 Feet, 2-Pack, Black', 'From the Manufacturer', 'Amazon Basics']",Musical Instruments,16.04,16.04,4.7,4.7,39853,39853,Amazon Basics,"[""['FOR LIVE SOUND & RECORDING: XLR male to female microphone cable for studio recording and live sound', '3 PIN CONNECTORS: Zinc alloy 3-pin connectors with nickeling', 'DURABLE & FLEXIBLE: Protective metal housing and flexible 6.0mm PVC jacket', 'CLEAR TRANSMISSION: All-copper conductors with inner copper spiral shielding to reduce noise interference', 'PLUG & PLAY DESIGN: Easily use with XLR-compatible PA systems, speakers, and other sound equipment', 'IN THE BOX: 6 foot cable; 2-pack']""]","Amazon Basics 2-Pack XLR Microphone Cable for Speaker or PA System, All Copper Conductors, 6MM PVC Jacket, 6 Foot, Black ['Product Description', 'Amazon Basics Standard XLR Male to Female Balanced Microphone Cable, Durable & Flexible, Noise-Cancelling - 6 Feet, 2-Pack, Black', 'From the Manufacturer', 'Amazon Basics'] Musical Instruments ['Musical Instruments', 'Live Sound & Stage', 'Stage & Studio Cables', 'Microphone Cables']"
B0BZK3X11C,8,"RockJam 61 Key Touch Display Keyboard Piano Kit with Digital Piano Bench, Electric Piano Stand, Headphones Piano Note Stickers, Sustain Pedal & Simply Piano Lessons",['The ROCKJAM 761 piano keyboard Super Kit is a complete package for any aspiring pianist containing all you need to take you through a musical journey.'],Musical Instruments,162.14,162.14,4.5,4.5,39352,39352,RockJam,"[""['The RockJam 761 keyboard piano super kit includes a digital keyboard with 61 full-size keys giving you that traditional piano feel whilst maintaining a portable and compact design that can be powered by either mains (power supply included) or batteries', 'This RockJam 761 piano keyboard features a touch display panel that both displays feedback and engages the 200 rhythms, 200 tones, a teaching function, and 30 demo songs that are part of its functionality', 'The RockJam 761 electric piano has record and playback functionality allowing you to build layers to your sound and the midi output integrates with your digital audio workstation like Ableton and logic via a single cable', 'This music keyboard super kit package includes a keyboard stand that is sturdy in design and can be adjusted to suit keyboard piano players both young and old', 'This electric piano keyboard super kit contains a padded seat that is easily folded and has a thick padded seat for hours of comfortable play']""]","RockJam 61 Key Touch Display Keyboard Piano Kit with Digital Piano Bench, Electric Piano Stand, Headphones Piano Note Stickers, Sustain Pedal & Simply Piano Lessons ['The ROCKJAM 761 piano keyboard Super Kit is a complete package for any aspiring pianist containing all you need to take you through a musical journey.'] Musical Instruments ['Musical Instruments', 'Keyboards & MIDI', 'Electronic Keyboards', 'Portable & Arranger Keyboards']"
B0BPJ4Q6FJ,9,"D'Addario Guitar Strings - XL Nickel Electric Guitar Strings - EXL150H - Perfect Intonation, Consistent Feel, Reliable Durability - For 6 String Guitars - 10-26 High Strung/Nashville Tuning","['XL Nickel Wound electric guitar strings are the standard against which all other strings are measured. Our best-belling electric set, XL Nickel has been revered by players everywhere since 1974. Made with a high carbon steel core and nickel-plated steel wrap wire, XL Nickel strings have a bright, versatile tone, ideal for a wide variety of musical styles. Popular with studio musicians for doubling 6-string guitar parts to achieve a 12-string effect, this 10-26 High Strung/Nashville Tuning gauge utilizes the higher \'octave\' strings of a 12-string set to achieve a shimmering, ""high-strung"" tone.']",Musical Instruments,5.99,5.99,4.8,4.8,37890,37890,D'Addario,"[""['BESTSELLING SET –\\xa0XL Nickel are our best-selling electric guitar strings, revered by players since 1974.', 'VERSATILE, BRIGHT TONE – Nickel-plated steel wrap wire provides a bright, versatile electric guitar tone, great for a variety of musical genres.', 'FOR THE ULTIMATE PERFORMANCE – Like all D’Addario electric guitar strings, XL Nickel are made with our proprietary Hex-Core, ensuring perfect intonation, consistent feel, and reliable durability.', 'EARN REWARD POINTS - XL Nickel sets have a code on the recyclable VCI bag, which you can register to earn Players Circle points.', 'MADE IN THE USA –\\xa0XL Nickel electric guitar strings are made in the USA—drawn to our exacting specifications at our New York production facility.']""]","D'Addario Guitar Strings - XL Nickel Electric Guitar Strings - EXL150H - Perfect Intonation, Consistent Feel, Reliable Durability - For 6 String Guitars - 10-26 High Strung/Nashville Tuning ['XL Nickel Wound electric guitar strings are the standard against which all other strings are measured. Our best-belling electric set, XL Nickel has been revered by players everywhere since 1974. Made with a high carbon steel core and nickel-plated steel wrap wire, XL Nickel strings have a bright, versatile tone, ideal for a wide variety of musical styles. Popular with studio musicians for doubling 6-string guitar parts to achieve a 12-string effect, this 10-26 High Strung/Nashville Tuning gauge utilizes the higher \'octave\' strings of a 12-string set to achieve a shimmering, ""high-strung"" tone.'] Musical Instruments ['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Electric Guitar Strings']"
B08T9CCXZB,10,WINGO Guitar Capo for Acoustic and Electric Guitars - Rosewood Color with 5 Picks,"['✔︎Quick Release : super easy to clip on guitar and quick to change. It can even change keys during a song,just clamp it and let your song fly.', '✔︎Versatile: this capo can suit your steel string acoustic and electric guitar ,banjo,mandolin or ukulele well.', '✔︎No Buzz: perfectly balanced pressure for that clear tone with strong spring.', '✔︎Well Made: High-Grade aluminum alloy material and much thicker silicone pad protect your guitars from scratches or demage.', '✔︎What you get: Unique beautiful wood finish capo with 5 medium picks which are shipped by random,might not the same color as the picture,but the same quality and also super beautiful. Rock & Roll with this capo,and it comes with lifetime warranty.']",Musical Instruments,8.29,8.29,4.8,4.8,36426,36426,WINGO,"[""['✔︎Quick Release : super easy to clip on guitar and quick to change. It can even change keys during a song,just clamp it and let your song fly.', '✔︎Versatile: this capo can suit your steel string acoustic and electric guitar ,banjo,mandolin or ukulele well.', '✔︎No Buzz: perfectly balanced pressure for that clear tone with strong spring.', '✔︎Well Made: High-Grade aluminum alloy material and much thicker silicone pad protect your guitars from scratches or demage.', '✔︎What you get: Unique beautiful wood finish capo with 5 medium picks which are shipped by random,might not the same color as the picture,but the same quality and also super beautiful. Rock & Roll with this capo,and it comes with lifetime warranty.']""]","WINGO Guitar Capo for Acoustic and Electric Guitars - Rosewood Color with 5 Picks [] Musical Instruments ['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Capos']"
